sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,cu_pct,mo_pct,au_gt
CR-C01-001-A0001,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,2.000000000,2.000000000,0.023328865,0.000000000,0.000000000
CR-C01-001-A0002,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,2.000000000,4.000000000,2.000000000,0.026494879,0.000000000,0.000000000
CR-C01-001-A0003,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,4.000000000,6.000000000,2.000000000,0.026083748,0.000000000,0.000000000
CR-C01-001-A0004,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,6.000000000,8.000000000,2.000000000,0.025525251,0.000000000,0.000000000
CR-C01-001-A0005,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,8.000000000,10.000000000,2.000000000,0.026774578,0.000000000,0.000000000
CR-C01-001-A0006,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,10.000000000,12.000000000,2.000000000,0.028069486,0.000000000,0.000000000
CR-C01-001-A0007,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,12.000000000,14.000000000,2.000000000,0.027914758,0.000000000,0.000000000
CR-C01-001-A0008,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,14.000000000,16.000000000,2.000000000,0.026915727,0.000000000,0.000000000
CR-C01-001-A0009,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,16.000000000,18.000000000,2.000000000,0.024451258,0.000000000,0.000000000
CR-C01-001-A0010,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,18.000000000,20.000000000,2.000000000,0.026357576,0.000000000,0.000000000
CR-C01-001-A0011,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,20.000000000,22.000000000,2.000000000,0.030045816,0.000000000,0.000000000
CR-C01-001-A0012,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,22.000000000,24.000000000,2.000000000,0.029857799,0.000000000,0.000000000
CR-C01-001-A0013,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,24.000000000,26.000000000,2.000000000,0.028282126,0.000000000,0.000000000
CR-C01-001-A0014,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,26.000000000,28.000000000,2.000000000,0.028527125,0.000000000,0.000000000
CR-C01-001-A0015,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,28.000000000,30.000000000,2.000000000,0.032611222,0.000000000,0.000000000
CR-C01-001-A0016,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,30.000000000,32.000000000,2.000000000,0.027616212,0.000000000,0.000000000
CR-C01-001-A0017,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,32.000000000,34.000000000,2.000000000,0.027788114,0.000000000,0.000000000
