hole_id,dataset_id,project_id,campaign_id,x,y,z,azimuth_deg,dip_deg,final_depth_m
CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,242792.058179042,8196745.779614356,3312.000000000,145.000000001,-84.000000000,230.000000000
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,242883.830408858,8196614.715287270,3372.000000000,145.000000000,-84.000000000,280.783860772
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,242975.602638674,8196483.650960184,3502.000000000,325.000000001,-84.000000000,411.744162582
CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,242628.227770184,8196631.064327086,3314.000000000,145.000000001,-84.000000000,230.000000000
CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,242720.000000000,8196500.000000000,3370.000000000,145.000000000,-84.000000000,278.794816981
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,242811.772229816,8196368.935672914,3446.000000000,325.000000001,-84.000000000,356.050936441
CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,242464.397361326,8196516.349039816,3288.000000000,145.000000001,-83.386539518,230.000000000
CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,242556.169591142,8196385.284712730,3338.000000000,145.000000000,-84.000000000,246.970116329
CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,242647.941820958,8196254.220385644,3404.000000000,325.000000001,-84.000000000,314.281016836
CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,242815.825488700,8196676.967442529,3334.000000000,145.000000000,-78.929797422,242.488666324
CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,242867.447367972,8196603.243758543,3380.000000000,325.000000000,-85.000000000,284.124780561
CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,242919.069247244,8196529.520074558,3476.000000000,325.000000000,-83.698391265,382.981706807
CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,242970.691126515,8196455.796390572,3524.000000000,325.000000000,-79.103109245,435.867431005
CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,242717.527243386,8196608.138270167,3338.000000000,145.000000000,-79.159694546,246.415777824
CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,242769.149122657,8196534.414586181,3380.000000000,325.000000000,-85.000000000,284.124780561
CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,242820.771001929,8196460.690902195,3430.000000000,325.000000000,-82.673593340,337.304799817
CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,242872.392881201,8196386.967218209,3518.000000000,325.000000000,-78.929797422,429.977332648
CR-C02-009,DS04,cerro_rojo,CAMPAIGN_02,242619.228998071,8196539.309097805,3324.000000000,145.000000000,-78.310630825,232.685114740
CR-C02-010,DS04,cerro_rojo,CAMPAIGN_02,242670.850877343,8196465.585413819,3360.000000000,325.000000000,-85.000000000,264.200886599
CR-C02-011,DS04,cerro_rojo,CAMPAIGN_02,242722.472756614,8196391.861729833,3388.000000000,325.000000000,-81.398615141,295.707291123
CR-C02-012,DS04,cerro_rojo,CAMPAIGN_02,242774.094635886,8196318.138045847,3434.000000000,325.000000000,-75.774036101,347.984641236
CR-C02-013,DS04,cerro_rojo,CAMPAIGN_02,242520.930752756,8196470.479925442,3306.000000000,145.000000000,-77.005383208,230.000000000
CR-C02-014,DS04,cerro_rojo,CAMPAIGN_02,242572.552632028,8196396.756241457,3340.000000000,325.000000000,-85.000000000,244.276992637
CR-C02-015,DS04,cerro_rojo,CAMPAIGN_02,242624.174511300,8196323.032557471,3374.000000000,325.000000000,-80.869823518,281.874414600
CR-C02-016,DS04,cerro_rojo,CAMPAIGN_02,242675.796390571,8196249.308873485,3416.000000000,325.000000000,-74.854293856,330.572132118
CR-C02-017,DS04,cerro_rojo,CAMPAIGN_02,242422.632507442,8196401.650753081,3288.000000000,145.000000000,-75.379126011,230.000000000
CR-C02-018,DS04,cerro_rojo,CAMPAIGN_02,242474.254386713,8196327.927069095,3328.000000000,325.000000000,-85.000000000,232.322656260
CR-C02-019,DS04,cerro_rojo,CAMPAIGN_02,242525.876265985,8196254.203385109,3366.000000000,325.000000000,-80.537677792,273.979451091
CR-C02-020,DS04,cerro_rojo,CAMPAIGN_02,242577.498145256,8196180.479701123,3390.000000000,325.000000000,-73.300755766,305.567356214
CR-C03-001,DS04,cerro_rojo,CAMPAIGN_03,242765.000000000,8196605.000000000,3354.000000000,90.000000000,-71.925397240,296.406046069
CR-C03-002,DS04,cerro_rojo,CAMPAIGN_03,242965.000000000,8196605.000000000,3440.000000000,270.000000000,-76.504266719,379.228963437
CR-C03-003,DS04,cerro_rojo,CAMPAIGN_03,242865.000000000,8196515.000000000,3458.000000000,0.000000000,-78.433310206,395.110039845
CR-C03-004,DS04,cerro_rojo,CAMPAIGN_03,242865.000000000,8196695.000000000,3350.000000000,180.000000000,-73.367883494,290.261166922
CR-C03-005,DS04,cerro_rojo,CAMPAIGN_03,242795.000000000,8196545.000000000,3390.000000000,49.398705355,-75.345321882,329.247075623
CR-C03-006,DS04,cerro_rojo,CAMPAIGN_03,242935.000000000,8196665.000000000,3398.000000000,229.398705355,-75.742468140,336.993835551
