density_sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,density_t_m3
CR-C01-001-D0001,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,4.091610674,5.091610674,1.000000000,2.277592452
CR-C01-001-D0002,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,29.091610674,30.091610674,1.000000000,2.734492529
CR-C01-001-D0003,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,54.091610674,55.091610674,1.000000000,2.706606826
CR-C01-001-D0004,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,79.091610674,80.091610674,1.000000000,2.703526571
CR-C01-001-D0005,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,104.091610674,105.091610674,1.000000000,2.723231442
CR-C01-001-D0006,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,129.091610674,130.091610674,1.000000000,2.700640813
CR-C01-001-D0007,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,154.091610674,155.091610674,1.000000000,2.702216900
CR-C01-001-D0008,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,179.091610674,180.091610674,1.000000000,2.705109692
CR-C01-001-D0009,CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,204.091610674,205.091610674,1.000000000,2.701021673
CR-C01-002-D0001,CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,4.569786321,5.569786321,1.000000000,2.265047735
CR-C01-002-D0002,CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,29.569786321,30.569786321,1.000000000,2.632582608
CR-C01-002-D0003,CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,54.569786321,55.569786321,1.000000000,2.614044794
CR-C01-002-D0004,CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,79.569786321,80.569786321,1.000000000,2.652788134
CR-C01-002-D0005,CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,104.569786321,105.569786321,1.000000000,2.639034259
CR-C01-002-D0006,CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,129.569786321,130.569786321,1.000000000,2.655644123
CR-C01-002-D0007,CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,154.569786321,155.569786321,1.000000000,2.653578698
CR-C01-002-D0008,CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,179.569786321,180.569786321,1.000000000,2.592887741
CR-C01-002-D0009,CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,204.569786321,205.569786321,1.000000000,2.646502305
CR-C01-002-D0010,CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,229.569786321,230.569786321,1.000000000,2.647422115
CR-C01-002-D0011,CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,254.569786321,255.569786321,1.000000000,2.510385467
CR-C01-002-D0012,CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,279.569786321,280.569786321,1.000000000,2.629873243
CR-C01-003-D0001,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,1.213460927,2.213460927,1.000000000,2.275298407
CR-C01-003-D0002,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,26.213460927,27.213460927,1.000000000,2.686550415
CR-C01-003-D0003,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,51.213460927,52.213460927,1.000000000,2.727528027
CR-C01-003-D0004,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,76.213460927,77.213460927,1.000000000,2.679959294
CR-C01-003-D0005,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,101.213460927,102.213460927,1.000000000,2.712538931
CR-C01-003-D0006,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,126.213460927,127.213460927,1.000000000,2.748981618
CR-C01-003-D0007,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,151.213460927,152.213460927,1.000000000,2.696739652
CR-C01-003-D0008,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,176.213460927,177.213460927,1.000000000,2.696007338
CR-C01-003-D0009,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,201.213460927,202.213460927,1.000000000,2.669634244
CR-C01-003-D0010,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,226.213460927,227.213460927,1.000000000,2.734698605
CR-C01-003-D0011,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,251.213460927,252.213460927,1.000000000,2.709778914
CR-C01-003-D0012,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,276.213460927,277.213460927,1.000000000,2.707691172
CR-C01-003-D0013,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,301.213460927,302.213460927,1.000000000,2.712755447
CR-C01-003-D0014,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,326.213460927,327.213460927,1.000000000,2.680655586
CR-C01-003-D0015,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,351.213460927,352.213460927,1.000000000,2.705298570
CR-C01-003-D0016,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,376.213460927,377.213460927,1.000000000,2.668504812
CR-C01-003-D0017,CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,401.213460927,402.213460927,1.000000000,2.626842797
CR-C01-004-D0001,CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,16.077646101,17.077646101,1.000000000,2.705202279
CR-C01-004-D0002,CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,41.077646101,42.077646101,1.000000000,2.694883505
CR-C01-004-D0003,CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,66.077646101,67.077646101,1.000000000,2.699122152
CR-C01-004-D0004,CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,91.077646101,92.077646101,1.000000000,2.692836522
CR-C01-004-D0005,CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,116.077646101,117.077646101,1.000000000,2.681478667
CR-C01-004-D0006,CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,141.077646101,142.077646101,1.000000000,2.718560907
CR-C01-004-D0007,CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,166.077646101,167.077646101,1.000000000,2.754570140
CR-C01-004-D0008,CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,191.077646101,192.077646101,1.000000000,2.714185532
CR-C01-004-D0009,CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,216.077646101,217.077646101,1.000000000,2.749983177
CR-C01-005-D0001,CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,10.365270225,11.365270225,1.000000000,2.660990226
CR-C01-005-D0002,CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,35.365270225,36.365270225,1.000000000,2.663793646
CR-C01-005-D0003,CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,60.365270225,61.365270225,1.000000000,2.653270429
CR-C01-005-D0004,CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,85.365270225,86.365270225,1.000000000,2.642844578
CR-C01-005-D0005,CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,110.365270225,111.365270225,1.000000000,2.608314880
CR-C01-005-D0006,CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,135.365270225,136.365270225,1.000000000,2.613022450
CR-C01-005-D0007,CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,160.365270225,161.365270225,1.000000000,2.579299549
