hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,lith_code
CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,7.000000000,7.000000000,REG
CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,7.000000000,230.000000000,223.000000000,DIO
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,7.000000000,7.000000000,REG
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,7.000000000,16.000000000,9.000000000,DIO
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,16.000000000,232.000000000,216.000000000,POR
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,232.000000000,278.000000000,46.000000000,BRX
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,278.000000000,280.783860772,2.783860772,POR
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,7.000000000,7.000000000,REG
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,7.000000000,368.000000000,361.000000000,DIO
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,368.000000000,411.744162582,43.744162582,POR
CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,7.000000000,7.000000000,REG
CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,7.000000000,230.000000000,223.000000000,DIO
CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,7.000000000,7.000000000,REG
CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,7.000000000,156.000000000,149.000000000,POR
CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,156.000000000,270.000000000,114.000000000,BRX
CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,270.000000000,278.794816981,8.794816981,POR
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,7.000000000,7.000000000,REG
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,7.000000000,280.000000000,273.000000000,DIO
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,280.000000000,356.050936441,76.050936441,POR
CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,7.000000000,7.000000000,REG
CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,7.000000000,230.000000000,223.000000000,DIO
CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,7.000000000,7.000000000,REG
CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,7.000000000,246.970116329,239.970116329,POR
CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,7.000000000,7.000000000,REG
CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,7.000000000,314.281016836,307.281016836,DIO
CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,38.000000000,31.000000000,DIO
CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,38.000000000,242.488666324,204.488666324,POR
CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,2.000000000,2.000000000,AIR
CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,2.000000000,9.000000000,7.000000000,REG
CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,9.000000000,15.000000000,6.000000000,DIO
CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,15.000000000,226.000000000,211.000000000,POR
CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,226.000000000,284.124780561,58.124780561,BRX
CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,161.000000000,154.000000000,DIO
CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,161.000000000,382.981706807,221.981706807,POR
CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,356.000000000,349.000000000,DIO
CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,356.000000000,435.867431005,79.867431005,POR
CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,9.000000000,2.000000000,DIO
CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,9.000000000,246.415777824,237.415777824,POR
CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,180.000000000,173.000000000,POR
CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,180.000000000,269.000000000,89.000000000,BRX
CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,269.000000000,284.124780561,15.124780561,POR
CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,8.000000000,1.000000000,DIO
CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,8.000000000,9.000000000,1.000000000,REG
CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,9.000000000,87.000000000,78.000000000,DIO
CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,87.000000000,337.304799817,250.304799817,POR
CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,298.000000000,291.000000000,DIO
CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,298.000000000,429.977332648,131.977332648,POR
CR-C02-009,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-009,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,232.685114740,225.685114740,POR
CR-C02-010,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-010,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,158.000000000,151.000000000,POR
