hole_id,dataset_id,project_id,campaign_id,depth_m,azimuth_deg,dip_deg
CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,145.000000001,-84.000000000
CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,50.000000000,145.000000001,-84.000000000
CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,100.000000000,145.000000001,-84.000000000
CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,150.000000000,145.000000001,-84.000000000
CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,200.000000000,145.000000001,-84.000000000
CR-C01-001,DS04,cerro_rojo,CAMPAIGN_01,230.000000000,145.000000001,-84.000000000
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,145.000000000,-84.000000000
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,50.000000000,145.000000000,-84.000000000
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,100.000000000,145.000000000,-84.000000000
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,150.000000000,145.000000000,-84.000000000
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,200.000000000,145.000000000,-84.000000000
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,250.000000000,145.000000000,-84.000000000
CR-C01-002,DS04,cerro_rojo,CAMPAIGN_01,280.783860772,145.000000000,-84.000000000
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,325.000000001,-84.000000000
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,50.000000000,325.000000001,-84.000000000
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,100.000000000,325.000000001,-84.000000000
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,150.000000000,325.000000001,-84.000000000
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,200.000000000,325.000000001,-84.000000000
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,250.000000000,325.000000001,-84.000000000
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,300.000000000,325.000000001,-84.000000000
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,350.000000000,325.000000001,-84.000000000
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,400.000000000,325.000000001,-84.000000000
CR-C01-003,DS04,cerro_rojo,CAMPAIGN_01,411.744162582,325.000000001,-84.000000000
CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,145.000000001,-84.000000000
CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,50.000000000,145.000000001,-84.000000000
CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,100.000000000,145.000000001,-84.000000000
CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,150.000000000,145.000000001,-84.000000000
CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,200.000000000,145.000000001,-84.000000000
CR-C01-004,DS04,cerro_rojo,CAMPAIGN_01,230.000000000,145.000000001,-84.000000000
CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,145.000000000,-84.000000000
CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,50.000000000,145.000000000,-84.000000000
CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,100.000000000,145.000000000,-84.000000000
CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,150.000000000,145.000000000,-84.000000000
CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,200.000000000,145.000000000,-84.000000000
CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,250.000000000,145.000000000,-84.000000000
CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,278.794816981,145.000000000,-84.000000000
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,325.000000001,-84.000000000
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,50.000000000,325.000000001,-84.000000000
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,100.000000000,325.000000001,-84.000000000
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,150.000000000,325.000000001,-84.000000000
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,200.000000000,325.000000001,-84.000000000
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,250.000000000,325.000000001,-84.000000000
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,300.000000000,325.000000001,-84.000000000
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,350.000000000,325.000000001,-84.000000000
CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,356.050936441,325.000000001,-84.000000000
CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,145.000000001,-83.386539518
CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,50.000000000,145.000000001,-83.386539518
CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,100.000000000,145.000000001,-83.386539518
CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,150.000000000,145.000000001,-83.386539518
CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,200.000000000,145.000000001,-83.386539518
CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,230.000000000,145.000000001,-83.386539518
CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,145.000000000,-84.000000000
CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,50.000000000,145.000000000,-84.000000000
CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,100.000000000,145.000000000,-84.000000000
CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,150.000000000,145.000000000,-84.000000000
CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,200.000000000,145.000000000,-84.000000000
CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,246.970116329,145.000000000,-84.000000000
CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,0.000000000,325.000000001,-84.000000000
CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,50.000000000,325.000000001,-84.000000000
CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,100.000000000,325.000000001,-84.000000000
CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,150.000000000,325.000000001,-84.000000000
CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,200.000000000,325.000000001,-84.000000000
